text,label
Your Apple ID has been locked for security reasons. Someone attempted to sign in to your account from Eastern Europe. To unlock your account click here and enter your Apple ID credentials and payment card information.,phishing
Your Apple ID has been locked for security reasons. Someone attempted to sign in to your account from Romania. To unlock your account click here and enter your Apple ID credentials and payment card information.,phishing
FINAL NOTICE: You owe a tax debt of $182. Call immediately to avoid legal action and wage garnishment. This is your last warning.,spam
Hot singles near you want to meet! Click here to see their profiles FREE. Limited time access. Join our network now and find your match!,spam
"Dear Barclays Customer, we have detected unusual activity on your account. Your account has been temporarily suspended. Please verify your identity immediately by clicking the link below and entering your login credentials. Failure to verify within 24 hours will result in permanent account closure and loss of funds.",phishing
"Hi Priya, your order #54932 has been shipped and will arrive by Monday. Track your package using the link in your account portal.",ham
WIN a FREE smartphone! You are today's lucky visitor number one million. Spin the wheel now and claim your prize before it expires!,spam
"IMPORTANT NOTICE from HSBC: We have updated our online banking security policy. All customers must re-confirm their account credentials by clicking this link and entering their username, password, and one-time PIN before Wednesday.",phishing
"Hi team, reminder that the project deadline is Thursday. Please update your tasks on the board by end of day. Thanks, Jennifer",ham
Hot singles near you want to meet! Click here to see their profiles FREE. Limited time access. Join our network now and find your match!,spam
"Dear Jennifer, your appointment has been confirmed for March 10 at 2:00 PM. Please bring a valid ID. Thank you for choosing us.",ham
"Hi Sarah, this is your monthly account statement for the period ending February 3. Please review and contact us if you notice any discrepancies.",ham
Your Apple ID has been locked for security reasons. Someone attempted to sign in to your account from Unknown Location. To unlock your account click here and enter your Apple ID credentials and payment card information.,phishing
"ACCOUNT VERIFICATION REQUIRED: Dear TD Bank member, as part of our mandatory security upgrade all customers must re-verify their account details. Click here and enter your account number, online banking password and security answers immediately.",phishing
"SECURITY ALERT: Your Facebook account was accessed from an unknown device in Vietnam. If this was not you please click here immediately to secure your account, reset your credentials, and review your recent activity.",phishing
"Hi David, following our phone call today I am sending the summary of action items we discussed. Please review and confirm.",ham
Your Amazon account has been flagged for security review. An unauthorized purchase of $964 was attempted from your account. Please verify your identity by clicking here and entering your account credentials and payment information.,phishing
BULK DISCOUNT OFFER: Buy cheap medications online without prescription. Special discount available for bulk orders. No doctor needed. Order now!,spam
You have been pre-approved for a personal loan of $4977! No credit check required. Apply online in 2 minutes. Get cash deposited today!,spam
SYSTEM ALERT: Your email inbox is over its storage limit. Your account will be deactivated in 24 hours. Click here and sign in with your email and password to upgrade your storage and prevent losing all your emails and contacts.,phishing
"Hi Tom, the updated employee handbook is now available on the company intranet. Please read section 4 regarding the new remote work policy.",ham
"ACCOUNT VERIFICATION REQUIRED: Dear Bank of America member, as part of our mandatory security upgrade all customers must re-verify their account details. Click here and enter your account number, online banking password and security answers immediately.",phishing
"Hi David, your order #50723 has been shipped and will arrive by January 15. Track your package using the link in your account portal.",ham
Special bulk offer just for you! Cheap prescription drugs shipped discreetly worldwide. No questions asked. Order now for free shipping!,spam
Hot singles near you want to meet! Click here to see their profiles FREE. Limited time access. Join our network now and find your match!,spam
Hot singles near you want to meet! Click here to see their profiles FREE. Limited time access. Join our network now and find your match!,spam
"Dear customer, your TD Bank credit card ending in 7832 has been used for an unauthorized transaction of $1473 at Romania. If you did not make this purchase click here immediately and enter your full card details to dispute the charge.",phishing
"Hello Tom, your subscription has been renewed successfully. Next billing date: next Monday. Contact support if you have any questions.",ham
"Dear Sarah, your appointment has been confirmed for Wednesday at 2:00 PM. Please bring a valid ID. Thank you for choosing us.",ham
Exclusive investment opportunity with guaranteed returns. Secret formula used by top Wall Street insiders. Only limited spots remaining today!,spam
"Dear valued customer, your PayPal account has been limited due to suspicious activity. Please confirm your billing information by clicking the link below. You must provide your credit card number and social security number to restore full access.",phishing
"Hi Priya, the updated employee handbook is now available on the company intranet. Please read section 4 regarding the new remote work policy.",ham
FINAL NOTICE: You owe a tax debt of $1803. Call immediately to avoid legal action and wage garnishment. This is your last warning.,spam
URGENT: Your account will be suspended in 24 hours. Click here immediately to verify your information and prevent permanent service disruption.,spam
"Hi Tom, your order #11244 has been shipped and will arrive by February 3. Track your package using the link in your account portal.",ham
Your Amazon account has been flagged for security review. An unauthorized purchase of $1460 was attempted from your account. Please verify your identity by clicking here and entering your account credentials and payment information.,phishing
"Dear Ravi, congratulations on completing 5 years with our company! Your loyalty award certificate is attached. Thank you for your dedication.",ham
"Dear Tom, your appointment has been confirmed for December 20 at 2:00 PM. Please bring a valid ID. Thank you for choosing us.",ham
"ACCOUNT VERIFICATION REQUIRED: Dear Bank of America member, as part of our mandatory security upgrade all customers must re-verify their account details. Click here and enter your account number, online banking password and security answers immediately.",phishing
"Dear SBI account holder, your debit card has been blocked due to suspicious transactions totaling $1713. Please click the link below and enter your card number, expiry date, and PIN to unblock your card immediately.",phishing
"Dear Emma, we are pleased to inform you that your job application has moved to the next stage. We will be in touch by March 10.",ham
Your Apple ID has been locked for security reasons. Someone attempted to sign in to your account from Brazil. To unlock your account click here and enter your Apple ID credentials and payment card information.,phishing
"Dear Priya, thank you for your payment of $1318. Your receipt number is #15235. Please keep this for your records.",ham
FINAL SECURITY WARNING: Your email account has been compromised and your password exposed. Hackers currently have access. Click here immediately and enter your current credentials so our security team can help you secure your account.,phishing
"Dear customer, your HDFC Bank credit card ending in 9034 has been used for an unauthorized transaction of $306 at Eastern Europe. If you did not make this purchase click here immediately and enter your full card details to dispute the charge.",phishing
WIN a FREE smartphone! You are today's lucky visitor number one million. Spin the wheel now and claim your prize before it expires!,spam
Double your Bitcoin investment in 24 hours! Guaranteed returns of 200 percent. Our AI trading bot has never lost. Invest $2465 and get $9599 back!,spam
Your Amazon account has been flagged for security review. An unauthorized purchase of $1141 was attempted from your account. Please verify your identity by clicking here and entering your account credentials and payment information.,phishing
"Hi James, the updated employee handbook is now available on the company intranet. Please read section 4 regarding the new remote work policy.",ham
Hot singles near you want to meet! Click here to see their profiles FREE. Limited time access. Join our network now and find your match!,spam
"Hi Robert, following our phone call today I am sending the summary of action items we discussed. Please review and confirm.",ham
Your Apple ID has been locked for security reasons. Someone attempted to sign in to your account from Vietnam. To unlock your account click here and enter your Apple ID credentials and payment card information.,phishing
"Dear TD Bank Customer, we have detected unusual activity on your account. Your account has been temporarily suspended. Please verify your identity immediately by clicking the link below and entering your login credentials. Failure to verify within 24 hours will result in permanent account closure and loss of funds.",phishing
